State,Year,Crude oil production (thousands of barrels)
Kentucky,1983,7886
Kansas,1983,71594
Indiana,1983,5321
Illinois,1983,29200
Idaho,1983,
Florida,1983,19476
Colorado,1983,29050
California,1983,374161
Arkansas,1983,18849
Arizona,1983,237
Alaska,1983,625527
Alabama,1983,18746
Wyoming,1982,118300
West Virginia,1982,3227
Virginia,1982,49
Utah,1982,22440
Texas,1982,908217
Tennessee,1982,1132
South Dakota,1982,1158
Pennsylvania,1982,4282
Oklahoma,1982,158621
Ohio,1982,14571
North Dakota,1982,47271
New York,1982,834
New Mexico,1982,71024
Nevada,1982,613
Nebraska,1982,6872
Montana,1982,30921
Missouri,1982,202
Mississippi,1982,33047
Michigan,1982,31462
Louisiana,1982,188749
Kentucky,1982,7349
Kansas,1982,70525
Indiana,1982,5563
Illinois,1982,27710
Idaho,1982,
Florida,1982,25626
Colorado,1982,30545
California,1982,373176
Arkansas,1982,18849
Arizona,1982,335
Alaska,1982,618910
Alabama,1982,20014
Wyoming,1981,130563
West Virginia,1981,3473
Virginia,1981,13
Utah,1981,25860
Texas,1981,932350
Tennessee,1981,918
South Dakota,1981,973
Pennsylvania,1981,3729
Oklahoma,1981,154056
Ohio,1981,13551
North Dakota,1981,45424
New York,1981,841
New Mexico,1981,71568
Nevada,1981,700
Nebraska,1981,6671
Montana,1981,30813
Missouri,1981,226
Mississippi,1981,34204
Michigan,1981,32665
Louisiana,1981,199579
Kentucky,1981,6548
Kansas,1981,65810
Indiana,1981,4721
Illinois,1981,24090
Idaho,1981,
Florida,1981,34773
Colorado,1981,30303
California,1981,365370
Arkansas,1981,18352
Arizona,1981,357
Alaska,1981,587337
Alabama,1981,20680
